Date,Price,Open,High,Low,Vol.,Change %
2007-08-21,691.50,675.00,693.25,675.00,13.57K,2.44%
2007-08-22,718.50,691.00,720.00,686.25,24.40K,3.90%
2007-08-23,722.50,716.50,741.00,708.50,22.97K,0.56%
2007-08-24,725.75,723.50,732.00,718.50,15.69K,0.45%
2007-08-27,722.25,725.75,729.50,718.75,20.46K,-0.48%
2007-08-28,720.50,722.00,737.75,718.00,23.15K,-0.24%
2007-08-29,742.00,720.75,744.00,714.00,19.65K,2.98%
2007-08-30,770.00,742.00,774.00,741.75,18.30K,3.77%
2007-08-31,767.00,768.50,795.00,761.25,6.61K,-0.39%
2007-09-01,939.00,784.00,961.75,783.25,508.66K,22.43%
2007-09-04,807.00,784.00,811.25,783.25,7.46K,-14.06%
2007-09-05,842.50,808.25,886.00,808.25,7.39K,4.40%
2007-09-06,816.00,843.50,844.00,808.00,2.26K,-3.15%
2007-09-07,840.00,818.50,840.00,808.75,2.41K,2.94%
2007-09-10,849.00,837.00,863.75,837.00,0.80K,1.07%
2007-09-11,871.00,850.00,871.00,843.00,0.58K,2.59%
2007-09-12,840.00,881.50,887.75,838.00,0.82K,-3.56%
2007-09-13,825.50,845.25,845.25,815.00,0.25K,-1.73%
2007-09-14,838.00,815.00,841.00,815.00,0.09K,1.51%
2007-09-17,875.00,854.50,876.00,853.75,44.77K,4.42%
2007-09-18,869.00,876.50,898.00,865.00,48.12K,-0.69%
2007-09-19,845.00,870.75,875.75,839.00,46.58K,-2.76%
2007-09-20,850.00,845.50,863.00,839.00,48.64K,0.59%
2007-09-21,874.00,850.25,880.00,850.25,43.79K,2.82%
2007-09-24,877.75,876.00,896.25,870.00,39.01K,0.43%
2007-09-25,887.25,879.50,905.00,872.75,48.31K,1.08%
2007-09-26,917.25,887.25,917.25,885.00,53.50K,3.38%
2007-09-27,933.00,929.25,946.75,925.50,53.82K,1.72%
2007-09-28,939.00,933.00,961.75,921.75,60.08K,0.64%
2007-10-01,952.50,953.25,958.50,941.75,43.91K,1.44%
2007-10-02,922.50,955.00,959.00,922.50,36.20K,-3.15%
2007-10-03,927.00,913.50,944.00,892.50,70.64K,0.49%
2007-10-04,906.00,939.00,948.00,904.00,58.74K,-2.27%
2007-10-05,890.00,907.25,912.25,888.00,47.67K,-1.77%
2007-10-08,860.00,886.50,889.00,860.00,24.05K,-3.37%
2007-10-09,845.50,845.75,876.25,835.00,66.74K,-1.69%
2007-10-10,853.00,845.00,858.50,841.00,47.67K,0.89%
2007-10-11,883.00,853.00,883.00,852.00,37.69K,3.52%
2007-10-12,857.50,886.00,890.00,853.00,49.60K,-2.89%
2007-10-15,833.50,856.00,863.00,827.50,48.84K,-2.80%
2007-10-16,828.50,832.00,836.00,810.00,50.44K,-0.60%
2007-10-17,820.50,830.75,837.50,818.00,41.38K,-0.97%
2007-10-18,825.50,824.00,832.00,818.50,34.10K,0.61%
2007-10-19,855.50,827.00,855.50,824.25,44.32K,3.63%
2007-10-22,871.00,855.25,874.25,837.25,43.25K,1.81%
2007-10-23,841.00,873.25,878.00,841.00,48.71K,-3.44%
2007-10-24,811.00,838.00,840.50,811.00,37.12K,-3.57%
2007-10-25,802.00,804.25,814.75,790.25,47.84K,-1.11%
2007-10-26,800.00,799.75,810.00,795.00,33.98K,-0.25%
2007-10-29,828.50,800.00,830.00,798.50,42.26K,3.56%
2007-10-30,814.00,828.50,829.00,808.75,51.88K,-1.75%
2007-10-31,808.00,812.75,824.00,804.00,44.54K,-0.74%
2007-11-01,778.25,811.00,825.00,778.00,68.14K,-3.68%
2007-11-02,778.50,778.50,786.50,774.00,49.31K,0.03%
2007-11-05,785.00,778.00,792.50,770.50,41.25K,0.83%
2007-11-06,797.00,787.25,804.00,786.25,40.43K,1.53%
2007-11-07,787.75,799.00,811.00,786.00,60.54K,-1.16%
2007-11-08,762.00,787.25,791.50,760.00,59.49K,-3.27%
2007-11-09,762.00,762.50,765.50,744.75,66.75K,0.00%
2007-11-12,761.00,762.50,770.50,748.50,57.42K,-0.13%
2007-11-13,748.00,761.00,765.00,745.50,58.28K,-1.71%
2007-11-14,752.50,748.00,759.25,740.75,40.12K,0.60%
2007-11-15,765.50,754.00,773.25,753.75,53.22K,1.73%
2007-11-16,749.50,767.75,770.00,745.50,44.41K,-2.09%
2007-11-19,756.25,750.75,764.00,750.25,28.50K,0.90%
2007-11-20,773.50,757.50,774.75,749.00,41.30K,2.28%
